"fips","state","total_population","asthma_count","obesity_rate_2016","obesity_rate_2017","pct_daily_smokers","meanAQI.Ozone","meanAQI.Other","pct_black","pct_white","lat","long","x.dist","y.dist"
1,NA,NA,NA,18.2,18.2,0.215,41.9843416370107,111.193371212121,0.264793556161603,0.659986046806621,32.806671,-86.79113,441.490901948167,1052.04083138409
4,"Arizona",1628054,129244,15.9,14.2,0.147,48.695652173913,237.420741645051,0.039935511544321,0.555384638139893,33.729759,-111.431221,410.214190080438,-4290.58757549136
5,NA,NA,NA,19.1,15.6,0.236,37.7863811092806,72.0996828615301,0.152517786834289,0.730434482282241,34.969704,-92.373123,1746.58861440053,-5569.9941809557
6,"California",9089743,588421,16.1,15.6,0.11,53.9729661868095,189.337606307466,0.0537427423886126,0.375072836243315,36.116203,-119.681564,-73.6965783813414,22.8812843062355
8,NA,NA,NA,9,10.7,0.156,48.57648,166.191129225481,0.0385135510642634,0.6870565569367,39.059811,-105.311104,89.950949752745,1325.65522531892
9,"Connecticut",752076,78916,13.4,11.9,0.133,46.9710227272727,71.1589172179051,0.0981501255375025,0.67594008830914,41.597782,-72.755371,4066.64879135913,-2214.97155117066
10,NA,NA,NA,16.8,16.7,0.177,44.6068796068796,154.015783841627,0.206967434815536,0.629557502975225,39.318523,-75.507141,-307.768503217858,33.6545049451644
12,"Florida",4163893,304053,17.9,16.9,0.155,38.2916137229987,123.695039999759,0.151449563145353,0.546937053216839,27.766279,-81.686783,-5566.21401965665,29.9131592066185
13,"Georgia",2510284,207109,18.6,18.4,0.179,44.6943231441048,108.919190424148,0.308309169083092,0.533896610338966,33.040619,-83.643074,130.758674213232,317.320942623591
16,NA,NA,NA,14.9,13.4,0.145,40.6661608497724,93.0725200477007,0.00520991094687102,0.825407402919973,44.240459,-114.478828,1159.1351190478,-6049.8275852432
17,"Illinois",2928924,207644,14.9,16.2,0.158,40.5105077180584,139.089900831339,0.137360701934162,0.618019085436147,40.349457,-88.986137,-2932.67134123157,4791.33010363119
18,"Indiana",1575055,124718,18.5,17.5,0.211,44.080106302202,103.783408558745,0.0906334546133035,0.797524644711882,39.849426,-86.258278,471.368427519861,-3456.90167081636
